2026-01-03 04:28:44.472173 | PID 584 | Local.exe | MEM 0.76% | Sustained Memory Growth
2026-01-03 04:28:45.437005 | PID 3100 | MemCompression | MEM 0.40% | Sustained Memory Growth
2026-01-03 04:28:47.262935 | PID 12056 | chrome.exe | MEM 0.41% | Sustained Memory Growth
2026-01-03 04:28:47.501701 | PID 15588 | chrome.exe | MEM 0.10% | Sustained Memory Growth
2026-01-03 04:28:47.528520 | PID 16416 | M365Copilot.exe | MEM 0.21% | Sustained Memory Growth
2026-01-03 04:28:48.057756 | PID 24916 | msedgewebview2.exe | MEM 0.63% | Sustained Memory Growth
2026-01-03 04:28:48.263322 | PID 27296 | SnippingTool.exe | MEM 1.69% | Sustained Memory Growth
2026-01-03 04:28:48.345625 | PID 28564 | chrome.exe | MEM 0.46% | Sustained Memory Growth
2026-01-03 04:28:48.415050 | PID 29564 | WindowsTerminal.exe | MEM 0.80% | Sustained Memory Growth
2026-01-03 04:28:50.939149 | PID 584 | Local.exe | MEM 0.76% | Sustained Memory Growth
2026-01-03 04:28:51.874971 | PID 3100 | MemCompression | MEM 0.41% | Sustained Memory Growth
2026-01-03 04:28:53.690067 | PID 12056 | chrome.exe | MEM 0.41% | Sustained Memory Growth
2026-01-03 04:28:53.930770 | PID 15588 | chrome.exe | MEM 0.10% | Sustained Memory Growth
2026-01-03 04:28:53.956881 | PID 16416 | M365Copilot.exe | MEM 0.22% | Sustained Memory Growth
2026-01-03 04:28:54.492252 | PID 24916 | msedgewebview2.exe | MEM 0.63% | Sustained Memory Growth
2026-01-03 04:28:54.692950 | PID 27296 | SnippingTool.exe | MEM 1.70% | Sustained Memory Growth
2026-01-03 04:28:54.772997 | PID 28564 | chrome.exe | MEM 0.46% | Sustained Memory Growth
2026-01-03 04:28:54.838787 | PID 29564 | WindowsTerminal.exe | MEM 0.80% | Sustained Memory Growth
2026-01-03 04:28:57.328537 | PID 584 | Local.exe | MEM 0.76% | Sustained Memory Growth
2026-01-03 04:28:58.265508 | PID 3100 | MemCompression | MEM 0.41% | Sustained Memory Growth
2026-01-03 04:29:00.091154 | PID 12056 | chrome.exe | MEM 0.41% | Sustained Memory Growth
2026-01-03 04:29:00.287513 | PID 14624 | WhatsApp.Root.exe | MEM 0.46% | Sustained Memory Growth
2026-01-03 04:29:00.331949 | PID 15588 | chrome.exe | MEM 0.10% | Sustained Memory Growth
2026-01-03 04:29:00.338172 | PID 15896 | python.exe | MEM 0.39% | Sustained Memory Growth
2026-01-03 04:29:00.392545 | PID 16648 | MsMpEng.exe | MEM 1.41% | Sustained Memory Growth
2026-01-03 04:29:00.882126 | PID 24916 | msedgewebview2.exe | MEM 0.64% | Sustained Memory Growth
2026-01-03 04:29:01.077985 | PID 27296 | SnippingTool.exe | MEM 1.70% | Sustained Memory Growth
2026-01-03 04:29:01.159042 | PID 28564 | chrome.exe | MEM 0.46% | Sustained Memory Growth
2026-01-03 04:29:01.218005 | PID 29564 | WindowsTerminal.exe | MEM 0.80% | Sustained Memory Growth
2026-01-03 04:29:03.711577 | PID 584 | Local.exe | MEM 0.76% | Sustained Memory Growth
2026-01-03 04:29:04.107539 | PID 1536 | chrome.exe | MEM 0.30% | Sustained Memory Growth
2026-01-03 04:29:04.422342 | PID 2292 | WorkloadsSessionHost.exe | MEM 0.09% | Sustained Memory Growth
2026-01-03 04:29:04.613684 | PID 3100 | MemCompression | MEM 0.42% | Sustained Memory Growth
2026-01-03 04:29:05.762105 | PID 6484 | chrome.exe | MEM 0.21% | Sustained Memory Growth
2026-01-09 12:17:08.577761 | PID 5348 | WindowsTerminal.exe | MEM 1.95% | Sustained Memory Growth
2026-01-09 12:17:10.858572 | PID 31456 | msedgewebview2.exe | MEM 0.40% | Sustained Memory Growth
2026-01-09 12:17:10.924910 | PID 33184 | OmenCommandCenterBackground.exe | MEM 2.12% | Sustained Memory Growth
2026-01-09 12:17:14.602527 | PID 5348 | WindowsTerminal.exe | MEM 2.35% | Sustained Memory Growth
2026-01-09 12:17:16.591195 | PID 33184 | OmenCommandCenterBackground.exe | MEM 2.12% | Sustained Memory Growth
2026-01-09 12:17:20.427356 | PID 5348 | WindowsTerminal.exe | MEM 2.75% | Sustained Memory Growth
2026-01-09 12:17:22.312126 | PID 33184 | OmenCommandCenterBackground.exe | MEM 2.15% | Sustained Memory Growth
2026-01-09 12:17:25.651451 | PID 5348 | WindowsTerminal.exe | MEM 3.18% | Sustained Memory Growth
2026-01-09 12:17:27.406921 | PID 33184 | OmenCommandCenterBackground.exe | MEM 2.16% | Sustained Memory Growth
2026-01-09 12:17:29.923998 | PID 1464 | svchost.exe | MEM 0.14% | Sustained Memory Growth
2026-01-09 12:17:30.317633 | PID 2292 | WorkloadsSessionHost.exe | MEM 0.07% | Sustained Memory Growth
2026-01-09 12:17:30.978405 | PID 5348 | WindowsTerminal.exe | MEM 3.60% | Sustained Memory Growth
2026-01-09 12:17:31.435083 | PID 6496 | svchost.exe | MEM 0.16% | Sustained Memory Growth
2026-01-09 12:17:31.604537 | PID 8140 | WorkloadsSessionHost.exe | MEM 0.10% | Sustained Memory Growth
2026-01-09 12:17:32.789025 | PID 33184 | OmenCommandCenterBackground.exe | MEM 2.20% | Sustained Memory Growth
2026-01-09 12:17:35.239772 | PID 1464 | svchost.exe | MEM 0.14% | Sustained Memory Growth
2026-01-09 12:17:35.512048 | PID 2292 | WorkloadsSessionHost.exe | MEM 0.08% | Sustained Memory Growth
2026-01-09 12:17:36.081999 | PID 5348 | WindowsTerminal.exe | MEM 3.98% | Sustained Memory Growth
2026-01-09 12:17:36.936032 | PID 12312 | msedge.exe | MEM 0.89% | Sustained Memory Growth
2026-01-09 12:17:37.028074 | PID 14840 | msedgewebview2.exe | MEM 0.82% | Sustained Memory Growth
2026-01-09 12:17:41.186663 | PID 5348 | WindowsTerminal.exe | MEM 4.34% | Sustained Memory Growth
2026-01-09 12:17:49.477415 | PID 5348 | WindowsTerminal.exe | MEM 4.35% | Sustained Memory Growth
2026-01-09 12:17:53.024041 | PID 16540 | WhatsApp.Root.exe | MEM 1.46% | Sustained Memory Growth
2026-01-09 14:51:22.102755 | PID 16648 | MsMpEng.exe | CPU 112.5% | Sustained High CPU
2026-01-09 14:51:27.880254 | PID 16648 | MsMpEng.exe | CPU 86.3% | Sustained High CPU
2026-01-09 14:51:33.220047 | PID 6496 | svchost.exe | MEM 0.11% | Sustained Memory Growth
2026-01-09 14:51:33.670379 | PID 11488 | SnippingTool.exe | MEM 1.67% | Sustained Memory Growth
2026-01-09 14:51:33.974420 | PID 16648 | MsMpEng.exe | CPU 90.9% | Sustained High CPU
2026-01-09 14:51:34.422941 | PID 22484 | python.exe | CPU 61.5% | Sustained High CPU
2026-01-09 14:51:34.546149 | PID 23656 | WindowsTerminal.exe | MEM 0.32% | Sustained Memory Growth
2026-01-09 14:51:39.082147 | PID 6496 | svchost.exe | MEM 0.11% | Sustained Memory Growth
2026-01-09 14:51:39.579603 | PID 11488 | SnippingTool.exe | MEM 1.67% | Sustained Memory Growth
2026-01-09 14:51:39.861467 | PID 16648 | MsMpEng.exe | CPU 114.2% | Sustained High CPU
2026-01-09 14:51:40.217419 | PID 21928 | php-cgi.exe | MEM 0.47% | Sustained Memory Growth
2026-01-09 14:51:40.353376 | PID 23656 | WindowsTerminal.exe | MEM 0.32% | Sustained Memory Growth
2026-01-09 14:51:40.708420 | PID 27248 | php-cgi.exe | MEM 0.48% | Sustained Memory Growth
2026-01-09 14:51:43.683267 | PID 2292 | WorkloadsSessionHost.exe | MEM 0.07% | Sustained Memory Growth
2026-01-09 14:51:44.777141 | PID 6212 | WhatsApp.Root.exe | MEM 0.53% | Sustained Memory Growth
2026-01-09 14:51:44.957231 | PID 6496 | svchost.exe | MEM 0.12% | Sustained Memory Growth
2026-01-09 14:51:45.185570 | PID 8140 | WorkloadsSessionHost.exe | MEM 0.07% | Sustained Memory Growth
2026-01-09 14:51:45.320946 | PID 10020 | explorer.exe | MEM 1.08% | Sustained Memory Growth
2026-01-09 14:51:45.427377 | PID 11488 | SnippingTool.exe | MEM 1.73% | Sustained Memory Growth
2026-01-09 14:51:45.603232 | PID 13640 | msedgewebview2.exe | MEM 0.44% | Sustained Memory Growth
2026-01-09 14:51:45.738435 | PID 16648 | MsMpEng.exe | CPU 112.1% | Sustained High CPU
2026-01-09 14:51:46.037959 | PID 21928 | php-cgi.exe | MEM 0.48% | Sustained Memory Growth
2026-01-09 14:51:46.069925 | PID 22484 | python.exe | MEM 0.38% | Sustained Memory Growth
2026-01-09 14:51:46.161851 | PID 23656 | WindowsTerminal.exe | MEM 0.32% | Sustained Memory Growth
2026-01-09 14:51:46.264474 | PID 25520 | vmwp.exe | MEM 0.10% | Sustained Memory Growth
2026-01-09 14:51:46.388510 | PID 26460 | chrome.exe | MEM 0.59% | Sustained Memory Growth
2026-01-09 14:51:46.423329 | PID 27248 | php-cgi.exe | MEM 0.50% | Sustained Memory Growth
2026-01-09 15:14:28.472058 | PID 9568 | msedgewebview2.exe | MEM 2.07% | Sustained Memory Growth
2026-01-09 15:14:29.000840 | PID 19520 | WindowsTerminal.exe | MEM 0.86% | Sustained Memory Growth
2026-01-09 15:14:29.363018 | PID 26052 | msedge.exe | MEM 0.28% | Sustained Memory Growth
2026-01-09 15:14:33.795863 | PID 9568 | msedgewebview2.exe | MEM 2.07% | Sustained Memory Growth
2026-01-09 15:14:34.264599 | PID 19520 | WindowsTerminal.exe | MEM 0.86% | Sustained Memory Growth
